,company_name,model,price,status,body_type,fuel_type,engine_desc,fuel_system,cooling,displacement,max_power,max_torque,cylinders_count,overall_lenght,overall_width,overall_height,seat_height,ground_clearance,wheelbase,kerb_wet,fuel_tank,bore,stroke,gears_count,clutch,gearbox,front_brake,rear_brake,front_suspension,rear_suspension,zero_cent,speedometer,tachometer,trip_meter,clock,electric_start
18,Ampere,Ampere Arya,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,500W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
19,Ampere,Ampere Asva,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,800W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
20,Ampere,Ampere Bobo,"
NA
",available,Scooterette,NaN,NA,NaN,NaN,NaN,250W,NA,NaN,1800.00 mm,700.00 mm,1100.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NA,NaN,NA,NA,NA,NA,NaN,Analogue,None,None,NaN,1
21,Ampere,Ampere Diti,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,800W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
22,Ampere,Ampere V60,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,250W,NaN,NaN,1800.00 mm,700.00 mm,1100.00 mm,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
23,Aprilia,Aprilia Caponord,"
₹ 16,71,270 - ₹ 18,46,272
",available,Touring,Petrol,V90 four-stroke,NaN,Liquid Cooling,1197 cc,125 Bhp @ 8250 rpm,115 Nm @ 6800 rpm,2,2245.00 mm,NaN,1440.00 mm,NaN,NaN,1565.00 mm,214.00 kg,24.00 litres,106 mm,67.8 mm,6,Multiplate wet clutch,NaN,Dual 320 mm stainless steel Ø floating discs,240 mm stainless steel disc,43 mm Sachs upside-down front fork,Fully adjustable front Sachs 43 mm upside-down fork,NaN,Digital,Digital,Digital-2,NaN,1
24,Aprilia,Aprilia Dorsoduro,"
₹ 13,45,572 - ₹ 18,00,000
",available,Adventure,Petrol,"Aprilia four-stroke longitudinal 90° V-twin, liquid cooled, double overhead camshafts with mixed gear/chain timing system and four valves per cylinder","Integrated engine management system. Injection system with triple map Ride by Wire throttle management: Sport (S), Touring (T), Rain (R)",Liquid Cooling,1197 cc,128.7 Bhp @ 8700 rpm,115 Nm @ 7200 rpm,2,2248 mm,925 mm,1205 mm,870 mm,NaN,1528 mm,NaN,15 litres,106 mm,67.8 mm,6,"Multiplate wet clutch, hydraulically operated",NaN,Dual Æ 320 mm stainless steel floating discs. Brembo four-piston radial callipers. Metal braided brake hose,Æ 240 mm stainless steel disc. Single piston Brembo calliper. Metal braided brake hose,Æ 43 mm Sachs upside-down front fork with fully adjustable compression and rebound damping and spring preload,Aluminium alloy swingarm Piggy-back design Sachs hydraulic shock absorber with fully adjustable compression and rebound damping and spring preload,NaN,Digital,Analog,Digital,NaN,1
25,Aprilia,Aprilia Mana,"
₹ 14,81,000 - ₹ 15,50,000
",available,Naked,Petrol,"Aprilia longitudinal 90° V-twin engine, 4 stroke, liquid cooled, single overhead cam with chain drive, four valves per cylinder","Integrated electronic engine management system, Weber Marelli electronic injection with Ø38-mm throttle body",Liquid Cooling,839.3 cc,75 Bhp @ 8000 rpm,73 Nm @ 5000 rpm,2,2080 mm,800 mm,1270 mm,800 mm,NaN,1463 mm,NaN,16 litres,88 mm,69 mm,Automatic,NaN,NaN,Dual Ø320 mm stainless steel floating discs. Radial calipers with four pistons. Metal braided brake lines,Ø260 mm stainless steel disc. Single piston caliper. Metal braided brake lines,43 mm upside-down fork,Single- piece aluminum alloy swingarm. Hydraulic shock absorber with adjustable spring preload and rebound damping,NaN,Digital,Analog,Digital,NaN,1
26,Aprilia,Aprilia RSV4,"
₹ 20,71,000 - ₹ 26,83,000
",available,Superbike,Petrol,"Aprilia V4 longitudinal 65°, 4-strokes, liquid cooling system, double overhead camshaft (DOHC), four valves per cylinder","Airbox with front dynamic air intakes. Variable length intake ducts controlled via ECU. 4 Weber-Marelli Ø48-mm throttle bodies with 8 injectors and latest generation Ride-by-Wire engine management. Choice of three different engine maps selectable by the rider with bike in motion: T (Track), S (Sport), R (Road)",Liquid Cooling,999.6 cc,181.4 Bhp @ 12500 rpm,117 Nm @ 10000 rpm,4,2040 mm,735 mm,1120 mm,840 mm,NaN,NaN,179 kg,18.5 litres,78 mm,52.3 mm,6,Multiplate wet clutch with mechanical slipper system. Gear lever with Aprilia Quick Shift electronic system 'AQS',NaN,Double Ø320mm lightweight stainless steel floating discs. New M430 Brembo monobloc radial calipers with 4 opposed Ø30 mm pistons. Sintered pads. New radial master cylinder. Metal braided brake line,Ø220 mm disc. New Brembo floating caliper with 2 insulated Ø 32 mm pistons. Sintered pads. Master cylinder with integral reservoir. Metal braided brake line,"Öhlins adjustable steering damper, Ø43mm Öhlins upside down units fully adjustable (Tin)","Aluminum alloy swingarm. ÖHLINS piggyback shock absorber with adjustable spring preload, compression, rebound damping and length",NaN,Digital,Analog,Digital,NaN,1
27,Aprilia,Aprilia Shiver,"
₹ 7,50,000 - ₹ 12,95,998
",available,Naked,Petrol,"Aprilia V90 four-stroke longitudinal 90° V-twin engine, withliquid cooling, double overhead camshafts driven by mixed gear/chain timing system, four valves per cylinder and Ride by Wire throttle control","Integrated engine management system. Latest generation 3 maps (Sport, Touring, Rain) Ride-by-Wire throttle management",Liquid Cooling,749.9 cc,93.6 Bhp @ 9000 rpm,81 Nm @ 7000 rpm,2,2265 mm,810 mm,1135 mm,NaN,NaN,1440 mm,NaN,15 litres,92 mm,56.4 mm,6,"Multiplate wet clutch, hydraulically operated",NaN,Dual Ø320 mm stainless steel floating wave discs. Four piston radial callipers. Metal braided brake lines,Ø240 mm stainless steel wave disc. Single piston calliper. Metal braided brake lines,43 mm upside-down fork,"Aluminum alloy swingarm with stiffener brace. Hydraulic shock absorber, with adjustable rebound and preload",NaN,Digital,Analog,Digital,NaN,1
28,Aprilia,Aprilia SR,"
₹ 67,000 - ₹ 80,850
",available,Scooter,Petrol,"3 Valve, Aluminium Cylinder Head, Overhead Cam and Roller Rocker Arm, MAP Sensing and Variable Spark Timing Management",Carb,Air-cooled,154.8 cc,10.06 HP @ 6750 rpm,10.90 NM @ 5000 rpm,1,NaN,NaN,NaN,780 mm,155 mm,NaN,122 kg,6.5 litres,NaN,NaN,Automatic,NaN,NaN,220mm Front Disc Brake,140mm Rear Drum Brake,32mm Telescopic Forks,Hydraulic Shock Absorber,NaN,Analog,0,0,NaN,1
29,Aprilia,Aprilia GPR,"
₹ 1,50,000 - ₹ 2,20,000
",expected,Sports,Petrol,"4-Stroke, Liquid-Cooled, DOHC, Single Cylinder",Fuel Injection,Liquid Cooling,149.2 cc,18 HP @ 9750 rpm,14 NM @ 7500 rpm,1,1950 mm,770 mm,1100 mm,NaN,NaN,1345 mm,140 kg,15.4 litres,63.6 mm,47.0 mm,6,Multiplate Wet,NaN,300mm Single Disc,218mm Single Disc,40mm USD Forks,Monoshock,NaN,Digital,Digital,Digital,Digital,1
30,Aprilia,Aprilia RS4,"
₹ 1,25,000 - ₹ 1,40,000
",expected,Sports,Petrol,NaN,Fuel Injection,Liquid-Cooled,150 cc,"18 HP @ 10,000 rpm",14 NM @ 7500 rpm,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,300mm Single Disc,218mm Single Disc,40mm USD Forks,Mono-Shock,NaN,1,1,1,1,1
31,Aprilia,Aprilia STX,"
₹ 95,000
",expected,Naked,Petrol,"Single Cylinder, 4-stroke",KEIHIN 22mm carburetor,Forced Air Cooling,149 cc,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1330 mm,NaN,18 litres,62 mm,49.5 mm,5-speed,Multiplate wet,NaN,240mm Disc with two piston caliper,104mm Drum,37mm hydraulic forks,"2 hydraulic Shock Absorber With Separate Canisters, adjustable Spring preload",NaN,1,NaN,NaN,NaN,1
32,Aprilia,Aprilia Tuono,"
₹ 1,30,000 - ₹ 20,60,000
",expected,Naked,Petrol,NaN,Fuel Injection,Liquid-Cooled,150 cc,"18 HP @ 10,000 rpm",14 NM @ 7500 rpm,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,300mm Single Disc,218mm Single Disc,40mm USD Forks,Mono-Shock,NaN,1,1,1,1,1
33,Aprilia,Aprilia SRV,"
₹ 15,12,000 - ₹ 15,72,000
",discontinued,Scooter,Petrol,"90°V-twin engine, 4-stroke",NaN,Liquid with three-way thermostat,839.3 cc,75 Bhp @ 7750 rpm,76.4 Nm @ 6000 rpm,2,2237 mm,790 mm,1130 mm,780 mm,318 mm,1593 mm,NaN,18.5 litres,88 mm,69 mm,Automatic,Automatic dry centrifugal clutch with vibration dampers,NaN,"Double, 300 mm semi-floating stainless steel discs with two Brembo double piston 28 mm floating callipers",280 mm Ø stainless steel disc and 25.4 mm Ø double piston calliper,41 mm diameter hydraulic telescopic fork with straight stanchions and set-back pin,"With laterally mounted, horizontal, hydraulic monoshock. Seven-position spring preload adjustment",6.30 secs,Analog,Analog,Digital,NaN,1
34,Atlas,Atlas Angel,"
NA
",available,Scooterette,NaN,Battery,NaN,NaN,NaN,"36V, 3x12AH, 12V",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Analogue,NaN,NaN,NaN,1
35,Atlas,Atlas Classic,"
NA
",available,Scooterette,NaN,Battery,NaN,NaN,NaN,"48V, 4x17AH, 12V",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
36,Avan,Avan Electric Scooter,"
NA
",available,Scooter,Electric,All Electric,NaN,NaN,NaN,250 Watts,NaN,NaN,1800 mm,680 mm,NaN,NaN,NaN,NaN,60 kg,NaN,NaN,NaN,NaN,NaN,NaN,Disc,Drum,Telescopic,Coil Spring,NaN,Digital,NaN,NaN,NaN,NaN
37,Avantura,Avantura Chopper,"
₹ 21,40,000 - ₹ 23,90,000
",available,Chopper,NaN,S&S V124,Electronic Sequential Port Fuel Injection,NaN,2032 cc,NaN,NaN,NaN,2627 mm,NaN,NaN,574 mm,150 mm,2006 mm,347 kg,21 litres,104.7 mm,117.4 mm,NaN,NaN,NaN,6-piston fixed,6-piston fixed,Telescopic,Swingarm,NaN,Analog,Digital,Digital,Digital,1
38,Avon,Avon e-Bike,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,220W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
39,Avon,Avon e-Lite,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,230W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
40,Avon,Avon e-Magic,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,220W BLDC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
41,Avon,Avon e-Plus,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,230W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
42,Avon,Avon e-Scoot,"
NA
",available,Scooterette,NaN,NaN,NaN,NaN,NaN,220W,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.00 kg,NaN,NaN,NaN,Automatic,NaN,NaN,Drum,NaN,NaN,NaN,NaN,Analogue,None,None,NaN,1
43,Bajaj,Bajaj Avenger,"
₹ 81,000 - ₹ 1,50,000
",available,Cruiser,Petrol,"Twin Spark, 2-valve, DTS-i engine",Carburetor,Air Cooled,149 cc,14.3 HP @ 9000 rpm,12.5 NM @ 6500 rpm,1,2177 mm,801 mm,1070 mm,725 mm,169 mm,1480 mm,148 kg,14 litres,NaN,NaN,5,Wet multiplate,NaN,240mm Disc,130mm Drum,Telescopic with anti-friction bush,Twin Shock Absorbers,NaN,Analog,0,Digital,NaN,1
44,Bajaj,Bajaj Chetak,"
₹ 26,899 - ₹ 1,15,000
 ",available,Scooter,Electric,4.08kW (Peak) Motor Power,NaN,NaN,NaN,NaN,16 NM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Automatic,NaN,NaN,Disc,Drum,Single-sided Trailing Arm,Single Shock Absorber,NaN,1,NaN,1,1,1
45,Bajaj,Bajaj CT,"
₹ 32,000 - ₹ 41,837
",available,Commuter,Petrol,"99.27cc, Single Cylinder, 4-Stroke, Natural Air-Cooled",NaN,NaN,99.27 cc,8.1 HP @ 7500 rpm,8.05 NM @ 4500 rpm,1,1945 mm,770 mm,1072 mm,800 mm,169 mm,1235 mm,110 kg,10.5 litres,53 mm,45 mm,4,NaN,NaN,Mechanically Operated Shoe & Drum Type (110mm),Mechanically Operated Shoe & Drum Type (110mm),"Hydraulic, Telescopic Type",Trailing arm with co- axial hydraulic shock absorber and coil springs. SNS,NaN,Analog,0,0,0,0
46,Bajaj,Bajaj Discover,"
₹ 53,811 - ₹ 62,253
",available,Commuter,Petrol,"124.6cc, Single cylinder, 2-valve, DTS-i with ExhausTEC",Carburetor,Air Cooling,124.6 cc,11 HP @ 7500 rpm,11 Nm @ 5000 rpm,1,2035 mm,760 mm,1087 mm,800 mm,165 mm,1305 mm,122 kg,8 litres,52 mm,58.6 mm,5,Wet Multi Plate Type,NaN,130mm Drum,130mm Drum,Telescopic,Nitrox Gas Charged,NaN,Digital-Analogue,1,1,NaN,1
47,Bajaj,Bajaj Platina,"
₹ 40,896 - ₹ 56,371
",available,Commuter,Petrol,"Single cylinder, 2-valve, DTS-I with ExhausTEC",PTE 16 Manual choke Carburetor,Air Cooling,102 cc,7.9 HP @ 7500 rpm,8.34 Nm @ 5500 rpm,1,2003 mm,740 mm,1069 mm,807 mm,200 mm,1255 mm,111.5 kg,11 litres,47 mm,58.8 mm,4,NaN,NaN,"Drum type, 110 mm","Drum type, 110 mm","Hydraulic, Telescopic Type",Trailing arm with co- axial hydraulic shock absorber and coil springs. SNS,NaN,Analogue,NaN,NaN,NaN,1
48,Bajaj,Bajaj Pulsar,"
₹ 65,000 - ₹ 1,45,000
",available,Sports Commuter,Petrol,"220cc, Oil-Cooled, Single Cylinder",NaN,Oil Cooling,220 cc,20.4 HP @ 8500 rpm,18.5 Nm @ 7000 rpm,1,2035 mm,750 mm,1165 mm,NaN,165 mm,1350 mm,155 kg,15 litres,67 mm,62.4 mm,5,Wet Multiplate Type,NaN,260mm Disc,230mm Disc,"Telescopic, with anti-friction bush","5 way adjustable, Nitrox shock absorber",10.5 secs,Digital,Analog,Digital,0,1
49,Bajaj,Bajaj Pulsar NS,"
₹ 75,000 - ₹ 86,000
",available,Naked,Petrol,"199.5cc, Liquid-Cooled, Single Cylinder",Fuel Injection,Liquid Cooling,199.5 cc,24.5 HP @ 9750 rpm,18.5 Nm @ 8000 rpm,1,2017 mm,804 mm,1075 mm,805 mm,168 mm,1363 mm,156 kg,12 litres,72 mm,49 mm,6,NaN,Multi-Plate Wet,300mm Petal Disc,230mm Petal Disc,Telescopic with Anti-Friction Bush,Nitrox Mono Shock Absorber with Canister,10.28 secs,Digital,Analogue,Digital,Digital,1
50,Bajaj,Bajaj Pulsar RS,"
₹ 1,21,800 - ₹ 1,75,000
",available,Sports,Petrol,"199.5cc, Liquid-Cooled, Single Cylinder",Fuel Injection,Liquid Cooling,199.5 cc,24.5 HP @ 9750 rpm,18.7 NM @ 8000 rpm,1,1999 mm,765 mm,1114 mm,810 mm,157 mm,1345 mm,166 kg,13 litres,72 mm,49 mm,6,Wet Multiplate,Constant Mesh,300mm Single Disc,230mm Single disc,Telescopic with Anti-Friction Bush,Nitrox Mono-Shock Absorber with Canister,9.92 secs,Digital,Analogue,Digital,Digital,1
51,Bajaj,Bajaj V,"
₹ 66,739
",available,Commuter,Petrol,"Single cylinder, 4 stroke, SOHC 2 valve, Air cooled, DTS-i",NaN,Air Cooling,149.5 cc,12 HP @ 7500 rpm,12.7 NM @ 5500 rpm,1,2044 mm,780 mm,1069 mm,780 mm,165 mm,1315 mm,137 kg,13 litres,56 mm,58.8 mm,5,Wet Multi Plate Type,NaN,240mm Disc,130mm Drum,33mm Telescopic Forks,Twin-Spring loaded hydraulic type- with gas filled,NaN,1,0,0,NaN,1
52,Bajaj,Bajaj Champion,"
₹ 49,000 - ₹ 0
",expected,Commuter,NaN,"144.8cc, 4-stroke, SI Engine",NaN,Air Cooling,144.8 cc,14.3 BHP @ 8500 rpm,12.75 NM @ 6500 rpm,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5 speed,Wet Multi Plate Type,NaN,Disc,Drum,Telescopic,Nitrox Gas Charged,NaN,1,NaN,1,NaN,1
53,Bajaj,Bajaj Dominar,"
₹ 1,30,000 - ₹ 2,00,000
",expected,Sports Cruiser,Petrol,"373.3cc, Triple Spark, 4-Valve, DTSi Engine, Closed Fuel Injection, Liquid Cooled, Single Cylinder",Fuel Injection,Liquid Cooling,373.3 cc,40 HP @ 8650 rpm,35 NM @ 7000 rpm,1,2156 mm,836 mm,1112 mm,800 mm,157 mm,1453 mm,184 kg,13 litres,89 mm,60 mm,6,Slipper Clutch,NaN,320mm Single Disc,230mm Single Disc,Upside Down (USD) Forks,Multi Step Adjustable Mono Shock (77mm diameter),NaN,Digital,Digital,Digital,Digital,1
54,Bajaj,Bajaj Pulsar CS,"
₹ 1,60,000 - ₹ 0
",expected,Naked,Petrol,"Single cylinder, 4-stroke, SOHC, 4-valve, Liquid Cooled, Triple Spark, Fi (Fuel Injected)",Fuel Injection,Liquid Cooling,199.5 cc,24.2 HP @ 9750 rpm,18.6 NM @ 8000 rpm,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72 mm,49 mm,6,Wet Multiplate,NaN,300mm butterfly disc brake,230mm butterfly disc brake,Telescopic with anti friction bush,Nitrox mono shock absorber with Canister,NaN,Digital,Analog,Digital (Twin),Digital,1
55,Bajaj,Bajaj Pulsar SS,"
₹ 1,60,000 - ₹ 1,75,000
",expected,Sports,Petrol,"373.2, Single Cylinder, 4-stroke, Triple Spark, Liquid-cooled, Engine",NaN,Liquid Cooling,373.2 cc,40-42 Bhp (Est.),33-35 Nm (Est.),1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,300mm Disc (Expected),230mm Disc (Expected),Telescopic suspension,Monoshock,NaN,Digital,Analog,Digital,Digital,1
56,Bajaj,Bajaj Avenger (2014),"
₹ 81,596
",discontinued,Cruiser,Petrol,"219.8cc, 4-Stroke, Single Cylinder",NaN,Air cooled with oil-cooler,219.8 cc,18.8 HP @ 8400 rpm,17.5 Nm @ 7000 rpm,1,NaN,NaN,NaN,710 mm,169 mm,1475 mm,154.50 kg,14 litres,NaN,NaN,5,NaN,NaN,260 mm Disc,130mm Drum,Telescopic,Hydraulic Shock Absorbers,NaN,Analog,0,Analog,NaN,1
57,Bajaj,Bajaj Boxer,"
₹ 33,000 - ₹ 45,000
",discontinued,Commuter,Petrol,"144.8cc, 4-stroke",NaN,Air Cooling,144.8 cc,12 HP @ 7500 rpm,12.26 Nm @ 5000 rpm,1,2016.00 mm,740.00 mm,1055.00 mm,NaN,190.00 mm,1285.00 mm,123.00 kg,11.00 litres,56 mm,58.8 mm,4,NaN,NaN,130mm Drum,130mm Drum,125mm fork travel telescopic,100mm wheel travel SNS,NaN,Analogue,None,None,NaN,1
58,Bajaj,Bajaj BYK,"
₹ 29,000
",discontinued,Commuter,Petrol,92.21cc,NaN,NaN,92.21 cc,6.41 [email protected],NaN,1,NaN,NaN,NaN,NaN,135.00 mm,1210.00 mm,98.00 kg,10.00 litres,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
59,Bajaj,Bajaj CT100 (2006),"
₹ 32,000 - ₹ 33,000
",discontinued,Commuter,Petrol,"99.27cc, Single cylinder 4-stroke, air cooled",NaN,Air Cooled,99.27 cc,8.2 HP @ 7500 rpm,8.05 Nm @ 4500 rpm,1,1945 mm,770 mm,1065 mm,NaN,150 mm,1235 mm,109 kg,10.5 litres,NaN,NaN,4,NaN,NaN,"Mechanical expanding shoe, Friction type","Mechanical expanding shoe, Friction type",Telescopic forks Suspension,"Hydraulic, Double acting, Swing arm type",NaN,Analogue,0,0,NaN,0
